COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,Number_of_Males_Fully_Vaccinated,Number_of_Females_Fully_Vaccinated,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100,Fully Vaccinated Children (5-17),Fully Vaccinated Adults (18+),Booster Dose Children (12-17),Booster Dose Adults (18+)
Aruba,ABW,AMRO,REPORTING,16/09/2022,173306,89761,162.323,84.073,49354,34191,83545,78.251,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",17/02/2021,2,35659,33.399,48398,35147,25772,9887
Australia,AUS,WPRO,REPORTING,08/09/2022,63280978,22427304,248.162,87.951,8996520,12769720,21766240,85.358,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",21/02/2021,5,14402265,56.48,12251991,9514249,1422864,12979401
Austria,AUT,EURO,REPORTING,18/09/2022,19226645,6887651,216,77.483,825316,5849081,6674397,74.984,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",30/12/2020,6,5405966,60.207,4320147,2354250,3868678,1537288
Azerbaijan,AZE,EURO,REPORTING,18/09/2022,13742472,5402833,135.5,53.287,512590,4357257,4869847,48.03,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20/01/2021,5,3504588,33.982,956559,3913288,3177384,327204
Bahamas,BHS,AMRO,REPORTING,16/09/2022,359002,172859,91.292,43.957,81230,83075,164305,41.782,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",14/03/2021,4,33717,8.574,23974,140331,2644,31073
Bahrain,BHR,EMRO,REPORTING,28/09/2022,3470831,1240586,203.978,72.908,772644,453382,1226026,72.052,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",04/11/2020,11,1008663,59.278,589050,636976,55828,952835
Bangladesh,BGD,SEARO,REPORTING,27/09/2022,299180594,131733366,181.664,79.989,38374698,83412932,121787630,73.95,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",27/01/2021,8,68532189,41.613,115350286,6437344,25807218,42724971
Barbados,BRB,AMRO,REPORTING,16/09/2022,374195,163445,130.211,56.875,49385,105117,154502,53.763,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",08/01/2021,5,62839,21.867,142969,11533,27333,35506
Belarus,BLR,EURO,REPORTING,18/09/2022,15582410,6501526,164.9,68.804,1274474,5116322,6390796,67.632,"Beijing CNBG - BBIBP-CorV,Chumakov - Covi-Vac,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light",03/02/2021,4,5720777,59.727,3455596,2935200,2396441,3324336
Belgium,BEL,EURO,REPORTING,18/09/2022,25825455,9245845,224.1,80.242,7250706,1899023,9149729,79.408,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,7245372,62.365,9092083,57646,2829436,4415936
Belize,BLZ,AMRO,REPORTING,16/09/2022,499320,250546,125.575,63.01,114509,105392,219901,55.303,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,5,50238,12.634,197888,22013,1936,48302
Benin,BEN,AFRO,REPORTING,18/09/2022,3690703,3205878,30.443,26.444,108719,2580663,2689382,22.184,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",29/03/2021,5,0,0,2314365,375017,0,0
Bermuda,BMU,AMRO,REPORTING,16/09/2022,132042,48554,212.037,77.97,44053,3604,47657,76.529,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",11/01/2021,2,31829,51.112,15910,31747,14298,17531
Bhutan,BTN,SEARO,REPORTING,25/09/2022,1975592,697310,256.036,90.371,199415,476928,676343,87.654,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",27/03/2021,5,634641,82.249,137822,538521,17571,617070
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,16/09/2022,15218408,7384270,130.372,63.259,4299506,1880676,6180182,52.944,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax, Pfizer BioNTech - Comirnaty,SII - Covishield",30/01/2021,7,2487668,21.311,1478863,4701319,2139621,348047
Bonaire,BES,AMRO,REPORTING,16/09/2022,41361,17460,197.758,83.481,4611,11273,15884,75.945,"Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Bharat - Covaxin",28/03/2021,3,8125,38.848,13278,2606,2507,5618
Bosnia and Herzegovina,BIH,EURO,REPORTING,29/01/2022,1924950,943394,58.7,28.755,775979,70101,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",23/03/2021,4,0,0,618600,227480,0,0
Botswana,BWA,AFRO,REPORTING,11/09/2022,2891400,1515015,122.953,64.424,209069,1166263,1375332,58.484,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",26/03/2021,6,507654,21.587,431601,943731,278075,229579
Brazil,BRA,AMRO,REPORTING,16/09/2022,479103959,183587361,225.398,86.37,38998654,126193423,165192077,77.716,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17/01/2021,5,110382337,51.93,43733746,121458331,48794120,61588217
British Virgin Islands,VGB,AMRO,REPORTING,16/09/2022,41453,19466,137.094,64.378,4577,13684,18261,60.393,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",11/02/2021,2,3726,12.323,11798,6463,2921,805
Brunei Darussalam,BRN,WPRO,REPORTING,09/09/2022,1273212,449769,291.034,102.809,391555,53202,444757,101.664,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",03/04/2021,5,340466,77.825,117277,327480,148096,192370
Bulgaria,BGR,EURO,REPORTING,18/09/2022,4537223,2101905,65.3,30.237,404383,1668544,2072927,29.82,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",30/12/2020,4,833135,12.182,1342019,730908,316881,516254
Burkina Faso,BFA,AFRO,REPORTING,28/08/2022,3740943,3074643,17.896,14.709,764387,1369007,2133394,10.206,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",02/06/2021,3,4056,0.019,1962712,170682,2927,1129
Burundi,BDI,AFRO,REPORTING,18/09/2022,21467,19568,0.181,0.165,2743,16229,18972,0.16,Beijing CNBG - BBIBP-CorV,18/10/2021,1,314,0.003,638,18334,8,306
Cabo Verde,CPV,AFRO,REPORTING,18/09/2022,857874,356544,154.297,64.128,224274,84277,308551,55.496,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",18/03/2021,4,3138712,11.899,12266,296285,2419025,719687
Cambodia,KHM,WPRO,REPORTING,16/09/2022,43822585,15186867,262.113,90.836,779132,13756793,14535925,86.943,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",10/02/2021,7,749,0.135,10059648,4476277,730,19
Cameroon,CMR,AFRO,REPORTING,11/09/2022,1893318,1607691,7.132,6.056,470391,786315,1256706,4.734,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",12/04/2021,4,10746738,64.279,437403,819303,2408677,8338061
Canada,CAN,AMRO,REPORTING,16/09/2022,88148937,32787406,233.556,86.872,8801302,22631301,31432603,83.282,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",14/12/2020,5,803560,3.027,11296627,20135976,309204,494356
Cayman Islands,CYM,AMRO,REPORTING,16/09/2022,148160,61663,225.441,93.827,4403,55742,60145,91.517,Pfizer BioNTech - Comirnaty,15/01/2021,1,19776324,52.399,10122,50023,19297008,479316
Central African Republic,CAF,AFRO,REPORTING,18/09/2022,1707255,1660574,35.349,34.382,1171715,398366,1570081,32.508,"Bharat - Covaxin,SII - Covishield",19/03/2021,2,24064,36.616,1429808,140273,3256,20808
Chad,TCD,AFRO,REPORTING,28/08/2022,3876928,3739193,23.603,22.764,3295371,316246,3611617,21.987,Beijing CNBG - BBIBP-CorV,04/06/2021,1,366221,7.583,1877296,1734321,15834,350387
Chile,CHL,AMRO,REPORTING,16/09/2022,62229394,18065602,325.532,94.504,12260869,5411523,17672392,92.447,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",21/12/2020,5,4042573,24.611,13071770,4600622,2863588,1178985
China,CHN,WPRO,REPORTING,13/09/2022,3455225743,1307449048,234.844,88.864,649330125,627901916,1277232041,86.811,"Anhui ZL - Zifivax,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,IMB - Covidful,Pfizer BioNTech - Comirnaty,Shenzhen - LV-SMENP-DC,Sinovac - CoronaVac,Wuhan CNBG - Inactivated",22/07/2020,8,15766986,82.48,253749623,1023482418,9671049,6095937
Colombia,COL,AMRO,REPORTING,16/09/2022,87566541,42633866,172.094,83.788,15096918,21382896,36479814,71.694,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17/02/2021,5,834060133,56.689,22969043,13510771,820193625,13866508
Comoros,COM,AFRO,REPORTING,31/07/2022,804403,423255,92.503,48.672,78440,303592,382032,43.932,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,SII - Covishield",10/04/2021,3,14792792,29.072,257009,125023,1721455,13071337
Congo,COG,AFRO,REPORTING,31/07/2022,833210,695760,15.1,12.609,297239,356880,654119,11.854,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,SII - Covishield",23/03/2021,4,0,0,325977,328142,0,0
Cook Islands,COK,WPRO,REPORTING,10/05/2022,39612,15020,225.529,85.516,14277,399,14676,83.557,Pfizer BioNTech - Comirnaty,17/05/2021,1,0,0,7232,7444,0,0
Costa Rica,CRI,AMRO,REPORTING,16/09/2022,11913344,4471009,233.865,87.768,1604958,2598209,4203167,82.51,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24/12/2020,3,10240,58.301,2545320,1657847,9328,912
Côte d’Ivoire,CIV,AFRO,REPORTING,18/09/2022,18547812,10721755,70.315,40.646,1607079,7210676,8817755,33.428,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",01/03/2021,5,2957974,58.066,3758555,5059200,404635,2553339
Croatia,HRV,EURO,REPORTING,18/09/2022,5293366,2316460,130.4,57.115,1181774,1061488,2243262,55.278,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,996098,25.79,442477,1800785,67538,928560
Cuba,CUB,AMRO,REPORTING,16/09/2022,37691939,10701830,332.773,94.484,1469133,8521141,9990274,88.202,"CIGB - CIGB-66,Finlay - Soberana Plus,Finlay - Soberana-02",24/03/2021,3,8742146,77.182,2869738,7120536,7485889,1256257
Curaçao,CUW,AMRO,REPORTING,16/09/2022,255346,108478,155.611,66.108,42730,57101,99831,60.838,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",24/02/2021,3,43138,26.289,10687,89144,37572,5566
Cyprus,CYP,EURO,REPORTING,18/09/2022,1818605,667024,204.8,75.115,93524,562049,655573,73.825,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,487409,53.875,577562,78011,179389,308020
Czechia,CZE,EURO,REPORTING,18/09/2022,17977765,6966172,168.1,65.141,1149673,5731050,6880723,64.342,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,4366166,41.516,1629213,5251510,2202051,2164115
Democratic Republic of the Congo,COD,AFRO,REPORTING,18/09/2022,5286630,4884351,5.903,5.454,894041,2177969,3072010,3.43,SII - Covishield,19/04/2021,1,0,0,2200894,871116,0,0
Denmark,DNK,EURO,REPORTING,04/09/2022,13198790,4816219,226.7,82.714,2914831,1863780,4778611,82.068,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",16/12/2020,5,3616993,61.582,563871,4214740,2948740,668253
Djibouti,DJI,EMRO,REPORTING,27/09/2022,260427,239808,26.359,24.272,210592,8849,219441,22.211,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",15/03/2021,11,0,0,137308,82133,0,0
Dominica,DMA,AMRO,REPORTING,16/09/2022,67431,32872,93.666,45.661,20466,10100,30566,42.458,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/02/2021,5,3993,5.547,19586,10980,264,3729
Dominican Republic,DOM,AMRO,REPORTING,16/09/2022,15774482,7277678,145.415,67.088,4927212,1113535,6040747,55.686,"AstraZeneca - Vaxzevria,SII - Covishield,Sinovac - CoronaVac",16/02/2021,3,2554266,23.546,2942558,3098189,561417,1992849
Ecuador,ECU,AMRO,REPORTING,16/09/2022,37723769,15258768,213.817,86.486,80242,14039572,14119814,80.03,"AstraZeneca - Vaxzevria,CanSino - Convidecia,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",20/01/2021,4,7708466,43.691,7390395,6729419,2053368,5655098
Egypt,EGY,EMRO,REPORTING,25/09/2022,98424374,52817695,96.179,51.613,5215779,34258708,39474487,38.574,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",24/01/2021,10,15217352,14.87,15260647,24213840,11937113,3280239
El Salvador,SLV,AMRO,REPORTING,16/09/2022,11090515,4612795,170.986,71.117,3065247,1251028,4316275,66.545,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",17/02/2021,6,1898202,29.265,1012149,3304126,841143,1057059
Equatorial Guinea,GNQ,AFRO,REPORTING,24/07/2022,488738,270109,34.836,19.252,209297,4735,214032,15.255,"Beijing CNBG - BBIBP-CorV,Sinovac - CoronaVac",12/02/2021,2,4597,0.328,59460,154572,48,4549
Eritrea,ERI,AFRO,REPORTING,03/07/2022,0,0,0,0,0,0,0,0,None,,0,0,0,0,0,0,0
Estonia,EST,EURO,REPORTING,18/09/2022,2129710,843782,160.3,63.491,209246,625163,834409,62.786,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,487389,36.596,562843,271566,138594,348795
Eswatini,SWZ,AFRO,REPORTING,11/09/2022,773579,492162,66.678,42.422,95389,395284,490673,42.293,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",19/03/2021,3,179450,15.468,385149,105524,71007,108443
Ethiopia,ETH,AFRO,REPORTING,31/07/2022,52509414,43111242,45.675,37.5,10834858,25872499,36707357,31.93,"Beijing CNBG - BBIBP-CorV,Bharat - Covaxin,Janssen - Ad26.COV 2-S,SII - Covishield",13/03/2021,4,5978070,5.2,3301369,33405988,5019653,958417
Falkland Islands (Malvinas),FLK,AMRO,REPORTING,21/06/2022,9390,3220,269.595,92.449,2858,118,2976,85.444,AstraZeneca - AZD1222,18/02/2021,1,2543,73.012,780,2196,143,2400
Faroe Islands,FRO,EURO,OWID,18/02/2022,103894,41715,212.614,85.368,22367,18528,40895,83.69,"Moderna - mRNA-1273, Pfizer BioNTech - Comirnaty",19/03/2021,2,21284,43.557,31660,9235,7192,14092
Fiji,FJI,WPRO,REPORTING,08/09/2022,1538912,709581,171.668,79.155,570928,67259,638187,71.191,"AstraZeneca - Vaxzevria,Moderna - Spikevax,SII - Covishield",07/03/2021,3,172078,19.196,608600,29587,82986,89092
Finland,FIN,EURO,REPORTING,18/09/2022,12847919,4541521,232.5,82.195,2190827,2165748,4356575,78.848,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,5,3088731,55.67,2844929,1511646,1039221,2049510
France,FRA,EURO,REPORTING,18/09/2022,153340653,54562129,227.8,81.049,32033627,21015832,53049459,78.802,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",30/12/2020,6,41042160,60.47,4948761,48100698,6403035,34639125
French Guiana,GUF,AMRO,REPORTING,16/09/2022,236724,99479,79.256,33.306,2542,87671,90213,30.204,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",13/01/2021,2,46331,15.512,37403,52810,29890,16441
French Polynesia,PYF,WPRO,REPORTING,31/07/2022,460803,188245,164.041,67.013,21773,161876,183649,65.377,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",18/01/2021,2,102317,36.424,156957,26692,8135,94182
Gabon,GAB,AFRO,REPORTING,18/09/2022,569829,310579,25.602,13.954,194320,62937,257257,11.558,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty",23/03/2021,3,2592,0.116,116062,141195,391,2201
Gambia,GMB,AFRO,REPORTING,07/08/2022,815861,452514,33.76,18.725,158718,198672,357390,14.789,"Beijing CNBG - BBIBP-CorV,SII - Covishield",10/03/2021,2,53741,2.224,356166,1224,42058,11683
Georgia,GEO,EURO,REPORTING,18/09/2022,2718171,1292672,68.1,32.404,670681,507219,1177900,29.527,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",17/03/2021,4,251191,6.684,58908,1118992,37999,213192
Germany,DEU,EURO,REPORTING,18/09/2022,185144577,64775678,222.6,77.887,51314883,13543808,64858691,77.986,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty,Unknown Vaccine",23/12/2020,6,52143826,62.645,42978645,21880046,27118501,25025325
Ghana,GHA,AFRO,REPORTING,18/09/2022,19340804,11471547,62.243,36.918,7862967,498873,8361840,26.91,"Gamaleya - Gam-Covid-Vac,SII - Covishield",02/03/2021,2,4806017,15.467,3635967,4725873,2236319,2569698
Gibraltar,GIB,EURO,OWID,21/04/2022,119855,42074,355.748,124.882,12531,28890,41421,122.944,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",05/03/2021,2,49170,145.944,33450,7971,38182,10988
Greece,GRC,EURO,REPORTING,18/09/2022,21448847,7909097,200.1,73.789,4374150,3357866,7732016,72.137,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",23/12/2020,5,5902357,56.429,2814716,4917300,960463,4941894
Greenland,GRL,EURO,OWID,07/03/2022,79745,41243,140.465,72.647,31395,7107,38502,67.819,Moderna - mRNA-1273,15/02/2021,1,0,0,4618,33884,0,0
Grenada,GRD,AMRO,REPORTING,16/09/2022,90138,44050,80.106,39.148,29725,9111,38836,34.514,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",15/02/2021,4,7411,6.586,6234,32602,6573,838
Guadeloupe,GLP,AMRO,REPORTING,16/09/2022,385712,150077,96.398,37.508,36672,107524,144196,36.038,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax-NUVAXOVID,Pfizer BioNTech - Comirnaty",08/01/2021,7,89009,22.245,59023,85173,81005,8004
Guam,GUM,WPRO,REPORTING,23/08/2022,368088,155225,218.094,91.972,132126,8888,141014,83.551,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",04/01/2021,3,83603,49.535,67510,73504,48910,34693
Guatemala,GTM,AMRO,REPORTING,16/09/2022,19553871,8758252,109.145,48.886,1317829,5552252,6870081,38.347,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",25/02/2021,5,3719543,20.762,1343054,5527027,3418337,301206
Guernsey,GGY,EURO,OWID,12/07/2022,157708,49598,244.63,77.452,608,42815,43423,67.809,"Moderna - mRNA-1273, AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty",04/03/2021,3,69339,107.556,14126,29297,57061,12278
Guinea,GIN,AFRO,REPORTING,18/09/2022,7472471,5137173,56.899,39.117,2312954,581223,2894177,22.038,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",05/03/2021,6,425378,3.239,1625218,1268959,64659,360719
